Event Name,Date,Location,Type,Region,Website,Latitude,Longitude,ShortForecast
Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/steinunn-porarinsdottir-wayfinders/,47.6683615,-122.39177949359151,Light Rain
Hanako O’Leary: Izanami,Now through 1/28/2024,Frye Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/hanako-oleary-izanami/,47.60719095,-122.32405377084555,Light Rain
Gage Alumni Show,Now through 1/28/2024,Fountainhead Gallery,Visual Arts & Galleries,Queen Anne / Seattle Center,https://visitseattle.org/events/gage-alumni-show/,28.1110963,-80.6740045,Chance Rain Showers
Bohemia,Now through 1/28/2024,The Triple Door,Theatre,Downtown,https://visitseattle.org/events/bohemia/,47.6086439,-122.337685,Light Rain
Lee Ritenour and Dave Grusin,Now through 1/28/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/lee-ritenour-and-dave-grusin/,47.6148163,-122.339691,Light Rain
Celebrate Asia,1/28/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/celebrate-asia/,47.60811665,-122.33697040702705,Light Rain
Family Day with Birds Connect Seattle,1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/family-day-with-birds-connect-seattle/,47.6683615,-122.39177949359151,Light Rain
Seattle Kraken vs. Columbus Blue Jackets,1/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-columbus-blue-jackets/,47.6219014,-122.353990491486,Light Rain
Tacoma Stars vs. San Diego Sockers,1/28/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/tacoma-stars-vs-san-diego-sockers-3/,47.38765995,-122.24000381780328,Light Rain
Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard,https://visitseattle.org/events/adira-sharkey/,47.6657081,-122.38280295082915,Light Rain Likely
